time,TATM,E,NC,nonUV,ES,YGROSS,S,invNCfrac,MIU,CPC,YNET,K,scc,gama3,ratioKNC,g4,theta1,share1,climsen,prtp,share2,theta2,YGreen,elasmu,damageNC
2060,2.0538292543672765,38.80999970395502,6.7931470063138,2.6063666292971526,72.86676702831957,253.99382215632795,0.24420815337035312,0.0,0.49264883513860647,19.921569151518483,251.13467487867985,581.3729268397233,75.07088156359768,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,250.1339091193892,1.45,0.07887651302079308
2065,2.1864066174679735,37.71782135360148,4.933082679594453,2.2210544071666622,71.68619336458275,281.46935665741915,0.24387369668155737,0.0,0.5330318608540877,21.740785631133676,277.878668502755,648.718599776357,84.35499488248841,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,276.59310410467344,1.45,0.07887651302079308
2070,2.3160790904962165,36.02488134547041,3.4664071493392963,1.86182897961636,69.61835815333222,310.49016399225223,0.24375747585569255,0.0,0.5758429334129155,23.65062375230565,306.04549605148776,720.3307598551089,94.29006089790482,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,304.4082817701199,1.45,0.07887651302079308
2075,2.441545158448964,33.83488021538797,2.3577886896942815,1.5355092606996161,66.75326112164197,341.0679962926034,0.2436406509574901,0.0,0.6196925876281799,25.658826893444637,335.64230356551684,796.3570823561076,104.92478972718084,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,333.5878513364015,1.45,0.07887651302079308
2080,2.5615636840825298,31.117781614945283,1.5536740973531589,1.246464639431524,63.21434458483496,373.1705775224888,0.24367145015663283,0.0,0.6648790436991447,27.757833760228884,366.6362272361072,876.6186998160146,116.21663705169281,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,364.0893656138049,1.45,0.07887651302079308
2085,2.6749279898046634,27.83177137306388,0.9931562270470907,0.9965722387499517,59.148304588805836,406.8009021513839,0.24387425478287358,0.0,0.7118588952642932,29.945829551069686,399.03323156014017,961.2254945829801,128.15065168357933,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,395.90526520739786,1.45,0.07887651302079308
2090,2.780432036209965,23.931395408758707,0.61695201285307,0.785462929012611,54.71361523894767,441.9674617164484,0.24403452337946488,0.0,0.7610935369338079,32.23112664334535,432.8494621538753,1050.3495498816544,140.76946680080053,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,429.0348211741984,1.45,0.07887651302079308
2095,2.8768346541172023,19.421721380469634,0.37327776735335666,0.6109646203777733,50.06922458980547,478.6202549222154,0.2442084320213931,0.0,0.8124994892219116,34.60860774693375,468.0495103424014,1143.7174462018154,154.02281981688165,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,463.43109674438404,1.45,0.07887651302079308
2100,2.9628557978950747,14.578825735823523,0.22055877002973248,0.46963684909697245,45.36462752784735,516.7287395762172,0.2443882951387037,0.0,0.8635231279628565,37.08070339495959,504.623640482264,1241.2226222372128,167.89213484540946,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,499.1169959097462,1.45,0.07887651302079308
2105,3.033806581842662,9.097597867688922,0.1277877038203036,0.3574740603460671,40.732035710525544,556.2682639175844,0.24443240012818432,0.0,0.9172338135973906,39.653245023454595,542.6053049509025,1342.821304730523,182.36849860595507,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,536.0672963228079,1.45,0.07887651302079308
2110,3.088867196723734,3.13230343474734,0.0729145172587572,0.27002688247424034,36.2912961332651,597.164321980229,0.24407714289017424,0.0,0.9723102781384483,42.34110688853388,581.9596509554686,1448.0836315823794,197.46109253540706,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,574.2608458290662,1.45,0.07887651302079308
2115,3.127102066181444,0.01527777948917235,0.041164058581371926,0.20288927665446474,32.131088499283884,639.2571980787521,0.24395504919321762,0.0,0.9999906470241968,45.15299768339319,622.5753392287745,1555.8986362313458,213.06969047314493,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,614.2673222209818,1.45,0.07887651302079308
2120,3.1497455355018857,0.012074943243886478,0.023093107311535552,0.15196416456367454,28.310635393664775,682.7375775580242,0.24418067435975588,0.0,0.9999939250136105,48.10121479552277,664.6621138629176,1668.0106597592758,229.16493428633405,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,656.3915544239808,1.45,0.07887651302079308
2125,3.160041810778186,0.009446308960933266,0.012918135741418188,0.11365797702501214,24.858494031571382,727.8115145923791,0.24426426783869903,0.0,0.9999970159334632,51.182433562656705,708.4165370013854,1786.3342764977351,245.71460340447746,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,700.1968239555313,1.45,0.07887651302079308
2130,3.160687266993579,0.00803646034854653,0.007225021486533765,0.08500012639128113,21.776177190850365,774.3373141783813,0.24459028734952423,0.0,0.9999937202394514,54.360085295387094,753.6940702796393,1909.977849661549,262.44941426127514,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,745.5392597734693,1.45,0.07887651302079308
2135,3.153911898469815,0.005991129454926076,0.00404854440922906,0.0636281730778832,19.04805673353847,822.3585811568045,0.24475558697321795,0.0,0.9999985928382147,57.66400748475767,800.5290179476499,2039.5811293383704,279.5621097248958,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,792.4511382841254,1.45,0.07887651302079308
2140,3.1415482846755123,0.005161425923594682,0.002276435220481315,0.047712002897398,16.648657128221487,871.7171251289458,0.2446786913124959,0.0,0.9999959556456868,61.0909383637903,848.7584005395416,2174.136478554644,297.0103095978696,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,840.7701595348755,1.45,0.07887651302079308
2145,3.1250941874062805,0.004238933921618225,0.0012858855713700041,0.035859246664842304,14.547746803895352,922.2272529568096,0.24504687801189218,0.0,0.9999959410050768,64.5715352917972,898.1919900770796,2312.3985608696903,314.2750147674361,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,890.3060808954085,1.45,0.07887651302079308
2150,3.105764203465832,0.003438833749076347,0.0007302745668067358,0.02702359278124831,12.713708965934902,974.0809020896683,0.24513652841049866,0.0,0.9999964174723396,68.17738241190172,949.007302223415,2456.2818542000587,331.8298919090314,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,941.2333328668867,1.45,0.07887651302079308
2155,3.0845354373061213,0.0027424103982577946,0.00041719022195252717,0.02042523493016732,11.115649320657429,1027.0331031962496,0.2451892694793466,0.0,0.9999972276902426,71.87142998203072,1000.9566408665839,2604.0632303027523,349.37050258768215,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,993.3048818011229,1.45,0.07887651302079308
2160,3.0621865058980653,0.0036302229544785793,0.00023981632135582534,0.01548600404739148,9.72461327719804,1081.005881678849,0.2454477657359988,0.0,0.9999868210332635,75.62361826444578,1053.9553356551396,2755.4117885569026,366.63067996427617,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,1046.4353934154199,1.45,0.07887651302079308
2165,3.0393320473823096,0.0030316334736263896,0.00013873242423037183,0.011778472915890745,8.514201868781356,1136.0698491714663,0.2456217259029787,0.0,0.9999885589316083,79.46546514367859,1108.0641747884288,2911.269253529394,383.7696949205985,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,1100.6832704377084,1.45,0.07887651302079308
2170,3.0164485346156913,0.0016615191659071055,8.07666521921818e-5,0.008987026882800663,7.460797378637701,1192.0892050674158,0.24595483234171286,0.0,0.9999966644490563,83.36103787322278,1163.143422369939,3070.834004303797,400.4579134925283,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,1155.9085246853178,1.45,0.07887651302079308
2175,2.9938992454029703,0.0028626806546761642,4.731484944880873e-5,0.006878579028317457,6.543550602666269,1249.102853055541,0.24597668705869175,0.0,0.9999858080159614,87.36431438470778,1219.2244580728523,3234.8032081580195,416.9807108019572,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,1212.141565306852,1.45,0.07887651302079308
2180,2.971957419991049,0.0029121274978768,2.7886738023497466e-5,0.0052807895265289135,5.744228414418535,1306.8058563135128,0.24600089977396658,0.0,0.9999840122819419,91.42019933900028,1276.0037127945502,3400.911778786811,432.8393445116734,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,1269.0787776159998,1.45,0.07887651302079308
2185,2.9508200892012404,0.002149483637235017,1.653228760998979e-5,0.004065991590004803,5.0469886752620825,1365.1596425336825,0.24623854762846442,0.0,0.9999885788642655,95.49860967779907,1333.4381505113424,3569.177002143732,447.6947232684813,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,1326.6760774357863,1.45,0.07887651302079308
