time,TATM,E,NC,nonUV,ES,YGROSS,S,invNCfrac,MIU,CPC,YNET,K,scc,gama3,ratioKNC,g4,theta1,share1,climsen,prtp,share2,theta2,YGreen,elasmu,damageNC
2090,1.5530726158302148,0.04368999917114898,4.100365726621572,2.024935980869907,93.25761189162519,406.8990401059063,0.2395824878312301,0.0,0.9999961899676924,30.075316269480016,405.53709928948115,959.7845258566476,500.5875518594961,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,397.99453692345526,1.45,0.0788765130206802
2095,1.5644673762343626,0.03482406292031809,3.4368626999719787,1.8538777467708,93.68647679103628,439.24742881501487,0.23940139940524988,0.0,0.9999983913123099,32.329393015156434,437.7555611661568,1043.5057711698907,533.7651147607354,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,430.17494773446185,1.45,0.0788765130206802
2100,1.5757331412790678,0.02840330080312996,2.874002887337548,1.6952884377997592,93.85708030878958,472.7674709384131,0.23902294530588863,0.0,0.9999931708852136,34.68217002247337,471.1385463779259,1131.1021452016607,567.3535128157934,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,463.54059369600145,1.45,0.0788765130206802
2105,1.5836145633818066,0.02234939666511856,2.399382705658115,1.5489940947783227,93.77925374961225,507.3486563860664,0.2388346867929674,0.0,0.99999840320109,37.10941427306352,505.5830514493938,1221.8886955904213,600.6925958315406,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,497.9881591339101,1.45,0.0788765130206802
2110,1.5887920345534996,0.01796409293631732,2.0009782562350753,1.4145593858990422,93.48307235709673,543.0060842660412,0.23886014434999317,0.0,0.9999979240185994,39.609513975257414,541.1040127178292,1316.1972859259572,633.638243607945,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,533.5308377449838,1.45,0.0788765130206802
2115,1.5918279244378766,0.01468939962485373,1.6676674505995372,1.2913819925179137,92.99527375546586,579.7566789845707,0.23922352299609978,0.0,0.9999953244931673,42.174807936957066,577.718107033474,1414.3975999611166,665.9035407423585,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,570.183281539635,1.45,0.0788765130206802
2120,1.5931850707976223,0.011457575597355581,1.3894827086366615,1.1787632114367421,92.33963940346254,617.6540720939267,0.2386916267634931,0.0,0.9999990926848159,44.87832059660369,615.478538413726,1517.1939056179824,698.9456454561239,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,607.9962805158863,1.45,0.0788765130206802
2125,1.5932419535011078,0.009608906222492239,1.1576883626366576,1.0759592755474798,91.53475131615656,656.3049899900076,0.2388113404892972,0.0,0.9999951853377194,47.6042932989809,653.9931529388468,1621.5059356408124,730.0814366714692,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,646.5810538871616,1.45,0.0788765130206802
2130,1.5923080815448765,0.008043621618874688,0.9647507032950312,0.9822172383414125,90.60013889475472,695.9387317995216,0.23867267444286255,0.0,0.9999929474355438,50.42251432326309,693.4901576965359,1729.5374810054213,760.6626169226982,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,686.161005275035,1.45,0.0788765130206802
2135,1.5906343770380558,0.005848112659452978,0.8042492108884585,0.8967994262311157,89.55099391724507,736.3858004999261,0.23850506401654054,0.0,0.9999997184630794,53.30739594163373,733.8003621885587,1840.1139982958698,789.9569217948633,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,726.5669548080157,1.45,0.0788765130206802
2140,1.5884221863168357,0.005148930587766472,0.670759850746226,0.8189992983795689,88.40121930215525,777.5886498723983,0.23892192076583474,0.0,0.9999955776113507,56.20972003921811,774.8661375910757,1953.0184051976717,816.7682299679258,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,767.7404786087396,1.45,0.0788765130206802
2145,1.5858340725945552,0.004057458127809069,0.5597295688575691,0.7481507661277699,87.16413305891025,819.7588507433051,0.23859520874006365,0.0,0.9999970392434977,59.24101918798222,816.8980365642359,2070.38798707958,843.172496169565,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,809.8883069058293,1.45,0.0788765130206802
2150,1.5829985774728474,0.004001224824872156,0.467354427929106,0.6836332554294781,85.84903972689584,862.4586399612059,0.23853038127787773,0.0,0.999991013233055,62.296058748685525,859.4595646455974,2188.7207507022868,866.8073007826035,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,852.5765371999096,1.45,0.0788765130206802
2155,1.5800177755251608,0.00399996363791401,0.3904669036226568,0.6248735100983692,84.4662832737202,905.7940886115045,0.2386463111802378,0.0,0.9999858703340269,65.38610582549944,902.65617145471,2309.2447485165294,887.6991775257172,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,895.9079004382163,1.45,0.0788765130206802
2160,1.5769710020777878,0.0024459317688830555,0.32643556431305504,0.5713453984351804,83.02482877872517,949.8025115908806,0.23892302092780765,0.0,0.9999953034733738,68.51316155153083,946.5248148112371,2432.6115095355863,905.6715401759361,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,939.9174227606845,1.45,0.0788765130206802
2165,1.5739173628315744,0.0018468892192987857,0.2730777664153929,0.5225684322798239,81.53264221089357,994.4966336476427,0.23861842617667192,0.0,0.9999972067456101,71.74579504195309,991.0779791148867,2559.2723206089786,921.7379381840074,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,984.6167018654289,1.45,0.0788765130206802
2170,1.5709022084601945,0.002003666470709974,0.22858462935562987,0.4781052492450066,79.9957620001497,1039.4716376169579,0.23907447241952806,0.0,0.9999932111069983,74.92977639725822,1035.9120557123515,2685.9631515283663,932.8386737396613,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1029.6034689101932,1.45,0.0788765130206802
2175,1.567959553015854,0.0018598075132373582,0.19145761266773995,0.4375586962542739,78.42203711854043,1085.1510407092262,0.2393210843034364,0.0,0.9999923469771421,78.18531779983608,1081.4489423931384,2816.793912001087,940.9156136193001,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1075.2956066897484,1.45,0.0788765130206802
2180,1.5651131904438975,0.002526268740206108,0.16045534898921687,0.40056878184553635,76.81682963470499,1131.2970145395793,0.23954830552258757,0.0,0.9999848753296927,81.47734145001746,1127.4514846602233,2949.9931897960823,945.0842734294404,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1121.4565793058046,1.45,0.0788765130206802
2185,1.5623799375287757,0.001831378627687214,0.13454923645704267,0.3668095370311992,75.1855250731849,1177.8262170240257,0.23918095337024403,0.0,0.9999895238049337,84.86396374706189,1173.8364956261705,3085.156595092003,946.011672276255,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1168.0023295881479,1.45,0.0788765130206802
2190,1.5597688139223977,0.0007199899340894916,0.11288663138598003,0.33598605832084766,73.53232777952354,1224.2922152111178,0.23876578014234412,0.0,0.9999980811021373,88.2572607502827,1220.158946890056,3218.573671483673,942.006648864698,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1214.4891082950965,1.45,0.0788765130206802
2195,1.5572837276289013,0.001538487006903547,0.0947603103115709,0.3078316265616171,71.86218085104109,1270.6817388520212,0.24012409300193777,0.0,0.9999900366049924,91.43754387270685,1266.4055160424589,3350.427764356687,929.7238319243237,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1260.9027480676657,1.45,0.0788765130206802
2200,1.5549271085054621,0.0019980616125006402,0.0795831976398535,0.28210494082850357,70.18207743302314,1318.2232577681605,0.23923121570251824,0.0,0.9999852451716063,94.97168780072761,1313.8004599587723,3492.2597342919753,917.2585106702142,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1308.4611314585366,1.45,0.0788765130206802
2205,1.5526979165102057,0.0016451505850595273,0.06686758518250889,0.258587674073048,68.49245496613133,1365.0398919334457,0.23952600310554714,0.0,0.9999877065764416,98.30987152648258,1360.473140962637,3627.2681863936596,896.6034284779957,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1355.300704774078,1.45,0.0788765130206802
2210,1.5505920209279591,0.0005079411557263165,0.056207987193948594,0.23708223719618599,66.79925448111175,1412.1429499288324,0.24082376507710296,0.0,0.9999972970205118,101.53354233602523,1407.4314216975702,3765.0143954869227,869.139318427693,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1402.424407141693,1.45,0.0788765130206802
2215,1.5486030262759745,0.0013958953662709505,0.04726699175440888,0.21740973242798695,65.1071342828596,1460.1865286477669,0.23969174558344858,0.0,0.9999889358371028,105.15063552855923,1455.32719644018,3911.888980210506,840.9173035681847,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1450.4818342735157,1.45,0.0788765130206802
2220,1.5467258641397923,0.010944071955224646,0.03976356405123971,0.19940803406894042,63.41596500291237,1507.0136108235183,0.24005549067895296,0.0,0.9999020106568584,108.47816856136338,1502.0105945420207,4048.273937895009,803.8313211929504,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1497.3305933827457,1.45,0.0788765130206802
2225,1.5449636409917387,0.001295817128459521,0.03346337026122729,0.18292995998804376,61.731324125961585,1554.0538218914066,0.24039808637702342,0.0,0.999989100603689,111.82187454431477,1548.9063897726173,4187.677429103138,761.7197921818118,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1544.3867314660438,1.45,0.0788765130206802
2230,1.5432966354930246,0.0059082496938527495,0.028171014720946304,0.1678422316371726,60.05587968601009,1601.1677505815574,0.24035891694968148,0.0,0.999946139072357,115.22684017841809,1595.8757035038434,4329.119719463626,715.1867760605425,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1591.515399074689,1.45,0.0788765130206802
2235,1.5417226240516366,0.010373268509303259,0.02372331404563807,0.15402374507081065,58.3918137357533,1647.9360134692677,0.24051776574386025,0.0,0.9999036080019488,118.5772156229903,1642.5004961772263,4468.976491297739,663.5138473550624,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1638.2976000252147,1.45,0.0788765130206802
2240,1.54023809678329,0.0026692234554724034,0.019983899142372287,0.14136441964784593,56.741914435076396,1694.5261403825177,0.2397311291779037,0.0,0.9999752406862088,122.06580341091286,1688.9477096981318,4609.084320254367,608.7121130025765,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1684.8981229379378,1.45,0.0788765130206802
2245,1.5388259508616753,0.009732141415370986,0.016838778612636624,0.12976431948974504,55.107471586627284,1740.0375664745793,0.24014018618073432,0.0,0.999907060252595,125.28716180464544,1734.3198097439636,4741.230848075213,548.5324489824994,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1730.4240544565964,1.45,0.0788765130206802
2250,1.5374869932865598,0.006080314616256061,0.014192531122122739,0.11913241004077244,53.49217290613027,1785.7157110059388,0.24018886122892977,0.0,0.9999412117524321,128.57839876054922,1779.858063058747,4877.371176524073,486.302449486952,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1776.11069369254,1.45,0.0788765130206802
2255,1.536209315953054,0.0403996584297245,0.011965270611082917,0.10938587939529909,51.89737797489957,1831.0604036735326,0.23924949583537372,0.0,0.9996018054848952,132.0173716334758,1825.063991102,5013.048930698378,423.1887188970386,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1821.4654265892264,1.45,0.0788765130206802
2260,1.5350225526321644,0.015027722628775057,0.010089983822477177,0.10044891150469067,50.32391655393762,1875.077606783902,0.24015781505457798,0.0,0.9998497037479123,135.0401362423417,1868.9465291658857,5139.078688053267,357.8778534576147,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1865.489063405982,1.45,0.0788765130206802
2265,1.533885741974716,0.05599080415288211,0.008510580926929663,0.09225280985926479,48.775312245241366,1919.7697486723032,0.23773272029404344,0.0,0.9994306880723465,138.7111683404824,1913.5018320482477,5274.633461887533,295.9007417541054,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1910.1861463614996,1.45,0.0788765130206802
2270,1.532835814504568,0.044643064309981106,0.0071799427937608235,0.08473454309643041,47.24965907226907,1961.4750188909245,0.23654052893704883,0.0,0.9995381739444706,141.9568812284556,1955.0797014610516,5385.1870571225445,234.8266738956642,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1951.901236491154,1.45,0.0788765130206802
2275,1.5318454574502949,0.07564306463909108,0.006058574959044453,0.07783684833704697,45.75003035084335,2002.0363798106719,0.23109780603118418,0.0,0.9992030747278307,145.93627288289264,1995.5172456764253,5488.417859922778,179.1352816332273,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1992.4766232900192,1.45,0.0788765130206802
2280,1.5309370592222504,0.3513104234444956,0.005113289904485985,0.07150727168957004,44.274137461620676,2037.0624307800458,0.22526142697387844,0.0,0.9962197712729968,149.62893720448454,2030.43710776003,5543.14074315953,127.99356737328966,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,2027.5583446591502,1.45,0.0788765130206802
2285,1.5303859715054688,1.2216591405896944,0.004315977025540831,0.06569609596879278,42.82395573156956,2067.2309480980175,0.21259238369180014,0.0,0.9865421607649931,154.3437195841333,2060.5123448429035,5556.822607381846,84.53588613810619,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,2057.8445633993856,1.45,0.0788765130206802
2290,1.5310334900887443,19.216462584588378,0.0036425080362421543,0.060353194084838246,41.39504676683347,2085.6859436366826,0.18738381645595828,0.0,0.7820620430701118,160.80952726231516,2078.901623370324,5468.658586434342,49.428030295743724,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,2077.5831398303317,1.45,0.0788765130206802
2295,1.5512604134469135,43.425472043496825,0.0030614221323138455,0.055330119576175195,39.97755186877902,2079.6916547072165,0.1351517036701445,0.0,0.4870637832181743,170.71737707252504,2072.74690793207,5175.715497433417,24.031270140135085,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,2072.4191260161115,1.45,0.0788765130206802
2300,1.6096247816559834,61.13186358118236,0.002541948259888241,0.05041773755225676,38.50689944343722,2016.7627466447486,0.016104440993737233,0.0,0.22686014109210245,188.31526330540373,2009.511842631994,4456.663122077805,8.190920215046779,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,2009.4767027239159,1.45,0.0788765130206802
2305,1.7107533665410863,61.980892808914156,0.0020652040049596743,0.04544451567526795,36.82084147442837,1782.9823532113282,6.571712321011029e-6,0.0,0.07954617472736478,169.1313878818675,1775.7411639725349,2793.422501892258,-0.0,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,1775.7396127911757,1.45,0.0788765130206802
