time,TATM,E,NC,nonUV,ES,YGROSS,S,invNCfrac,MIU,CPC,YNET,K,scc,gama3,ratioKNC,g4,theta1,share1,climsen,prtp,share2,theta2,YGreen,elasmu,damageNC
2090,2.154406145712992,0.04363267485080582,1.4815386141007318,1.2171847082923495,72.28499584395111,399.67998190620636,0.23651759228244035,0.0,0.9999967551135087,29.566983532738664,397.10570297972066,931.5466456753485,307.01405989393595,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,389.6969463516358,1.45,0.07923818399245847
2095,2.1766451615727824,0.0348621609986217,1.0771587656216148,1.0378625947694688,69.75171290551982,430.59099054729944,0.23651153810530365,0.0,0.9999979494096017,31.709441921501554,427.76006624880654,1010.9198961593777,332.82378783832877,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,420.32885642591594,1.45,0.07923818399245847
2100,2.1934284362375998,0.02799369585326715,0.7798575258632995,0.8830954228526493,67.05887556027866,462.5390609918251,0.2365912216178191,0.0,0.9999973117033805,33.92807301592683,459.45101756420434,1094.0012111998346,359.09813942819073,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,452.0173617781858,1.45,0.07923818399245847
2105,2.202657243685459,0.022359182970873203,0.5633018630971524,0.7505343850198686,64.26493269958223,495.48614151579665,0.236718435615099,0.0,0.9999982647740325,36.22208036156304,492.15023861300426,1180.7134742792136,385.73106558624517,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,484.7329282827786,1.45,0.07923818399245847
2110,2.205968123529535,0.017811541295306106,0.4065410823429209,0.637605742087476,61.43180945051574,529.3910634235655,0.23669605980120953,0.0,0.9999994005073081,38.598065601463794,525.8161698533518,1270.9256017982595,412.72297139544435,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,518.4328497706101,1.45,0.07923818399245847
2115,2.204708159199175,0.014794950337194614,0.29349839694750307,0.5417549233255782,58.60608321338416,564.1540421706928,0.2371157282235148,0.0,0.9999941559157934,41.018378554296774,560.3487503396929,1364.0239226669335,439.37894070446697,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,553.0167289853222,1.45,0.07923818399245847
2120,2.1999811519782413,0.011679606953750008,0.21214099989286647,0.4605876679774074,55.82266489014291,599.8771590185887,0.23692141546144482,0.0,0.9999969151683185,43.54625895298365,595.8482422828046,1461.0873081613015,466.5592565075302,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,588.581378114948,1.45,0.07923818399245847
2125,2.19268523093762,0.009213968475384101,0.1536177440442843,0.39194099561577417,53.10512770778605,636.2797510490744,0.23692141833697927,0.0,0.9999988055836045,46.11847349575748,632.0346431712935,1559.9951106823737,493.1496787351132,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,624.8486299335358,1.45,0.07923818399245847
2130,2.1835471976332976,0.007432808914775018,0.11149511138105334,0.3339088369316591,50.47046543259002,673.4071684601716,0.2367932527470233,0.0,0.999998474484307,48.756802753443,668.9517248808695,1661.361631155693,519.3444579876665,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,661.859749775405,1.45,0.07923818399245847
2135,2.173151068246904,0.006179482258993523,0.08113402178774926,0.28484034438216305,47.929236100105236,711.1655722638493,0.2372444083544326,0.0,0.9999966137694235,51.40791223521318,706.5050068772656,1764.6370446393707,544.1687889393903,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,699.5193947470599,1.45,0.07923818399245847
